reason,space_key,page_id,title,body_chars,word_count,relative_path,source_url
brief_category_stub,FAQE,16876245,Disk tablespace usage,69,9,FAQE/Home/08. Monitoring/Disk tablespace usage__16876245.md,https://docs.altibase.com/display/FAQE/Disk+tablespace+usage
brief_category_stub,FAQE,1802666,ALTIBASE HDB Administration,66,10,FAQE/Home/ALTIBASE HDB Administration__1802666.md,https://docs.altibase.com/display/FAQE/ALTIBASE+HDB+Administration
brief_category_stub,FAQE,1507342,ALTIBASE HDB Architecture,54,6,FAQE/Home/ALTIBASE HDB Architecture__1507342.md,https://docs.altibase.com/display/FAQE/ALTIBASE+HDB+Architecture
brief_category_stub,FAQE,2557046,ALTIBASE HDB Developer,57,8,FAQE/Home/ALTIBASE HDB Developer__2557046.md,https://docs.altibase.com/display/FAQE/ALTIBASE+HDB+Developer
brief_category_stub,FAQE,2555997,ALTIBASE HDB General Information,49,6,FAQE/Home/ALTIBASE HDB General Information__2555997.md,https://docs.altibase.com/display/FAQE/ALTIBASE+HDB+General+Information
brief_category_stub,FAQE,1802802,ALTIBASE HDB Performance Tuning,48,7,FAQE/Home/ALTIBASE HDB Performance Tuning__1802802.md,https://docs.altibase.com/display/FAQE/ALTIBASE+HDB+Performance+Tuning
brief_category_stub,FAQE,2555989,ALTIBASE HDB Replication,24,3,FAQE/Home/ALTIBASE HDB Replication__2555989.md,https://docs.altibase.com/display/FAQE/ALTIBASE+HDB+Replication
brief_category_stub,FAQE,1802664,ALTIBASE HDB Troubleshooting,59,7,FAQE/Home/ALTIBASE HDB Troubleshooting__1802664.md,https://docs.altibase.com/display/FAQE/ALTIBASE+HDB+Troubleshooting
brief_category_stub,faq,7342005,08-06. 디스크 테이블스페이스 사용량,34,8,faq/Home/08. 모니터링/08-06. 디스크 테이블스페이스 사용량__7342005.md,https://docs.altibase.com/pages/viewpage.action?pageId=7342005
empty_category_page,FAQE,16875939,Altibase Client Installation,0,0,"FAQE/Home/01. Installation, Patch, Upgrade/Altibase Client Installation__16875939.md",https://docs.altibase.com/display/FAQE/Altibase+Client+Installation
empty_category_page,FAQE,16875918,"01. Installation, Patch, Upgrade",0,0,"FAQE/Home/01. Installation, Patch, Upgrade__16875918.md",https://docs.altibase.com/display/FAQE/01.+Installation%2C+Patch%2C+Upgrade
empty_category_page,FAQE,16875945,02. Operation and Management,0,0,FAQE/Home/02. Operation and Management__16875945.md,https://docs.altibase.com/display/FAQE/02.+Operation+and+Management
empty_category_page,FAQE,16876057,03. Replication,0,0,FAQE/Home/03. Replication__16876057.md,https://docs.altibase.com/display/FAQE/03.+Replication
empty_category_page,FAQE,16876100,04. Backup and Recovery,0,0,FAQE/Home/04. Backup and Recovery__16876100.md,https://docs.altibase.com/display/FAQE/04.+Backup+and+Recovery
empty_category_page,FAQE,16876149,05. SQL,0,0,FAQE/Home/05. SQL__16876149.md,https://docs.altibase.com/display/FAQE/05.+SQL
empty_category_page,FAQE,16876155,06. Stored Procedure,0,0,FAQE/Home/06. Stored Procedure__16876155.md,https://docs.altibase.com/display/FAQE/06.+Stored+Procedure
empty_category_page,FAQE,16876171,JDBC,0,0,FAQE/Home/07. Development and API/JDBC__16876171.md,https://docs.altibase.com/display/FAQE/JDBC
empty_category_page,FAQE,16876179,ODBC,0,0,FAQE/Home/07. Development and API/ODBC__16876179.md,https://docs.altibase.com/display/FAQE/ODBC
empty_category_page,FAQE,16876189,PHP,0,0,FAQE/Home/07. Development and API/PHP__16876189.md,https://docs.altibase.com/display/FAQE/PHP
empty_category_page,FAQE,16876165,07. Development and API,0,0,FAQE/Home/07. Development and API__16876165.md,https://docs.altibase.com/display/FAQE/07.+Development+and+API
empty_category_page,FAQE,16876261,Memory tablespace usage,0,0,FAQE/Home/08. Monitoring/Memory tablespace usage__16876261.md,https://docs.altibase.com/display/FAQE/Memory+tablespace+usage
empty_category_page,FAQE,16876272,Undo Tablespace,0,0,FAQE/Home/08. Monitoring/Undo Tablespace__16876272.md,https://docs.altibase.com/display/FAQE/Undo+Tablespace
empty_category_page,FAQE,16876197,08. Monitoring,0,0,FAQE/Home/08. Monitoring__16876197.md,https://docs.altibase.com/display/FAQE/08.+Monitoring
empty_category_page,FAQE,16876299,09. Error Messages,0,0,FAQE/Home/09. Error Messages__16876299.md,https://docs.altibase.com/display/FAQE/09.+Error+Messages
empty_category_page,FAQE,16876461,10. Migration,0,0,FAQE/Home/10. Migration__16876461.md,https://docs.altibase.com/display/FAQE/10.+Migration
