job_id	ko_path	ko_start_line	ko_end_line	ko_unit_id	unit_type	ko_excerpt	required_identifiers	en_target_paths	en_start_line	coverage_status	action	evidence_excerpt	risk	notes
S028	faq/Home/09. 에러메시지/09-11. ERR-4109C Invalid session property__8454428.md	1	17	S028-F09-11-U001	metadata	title/source metadata and generated navigation	8454428; ERR-4109C; 2025-08-08	FAQE/Home/09. Error Messages/ERR-4109C Invalid session property__22642975.md	1	not_applicable	Excluded from technical coverage.	English target has translated metadata, title, source metadata, and generated navigation.	none	Export metadata and TOC are not technical error-message behavior.
S028	faq/Home/09. 에러메시지/09-11. ERR-4109C Invalid session property__8454428.md	19	29	S028-F09-11-U002	symptom	connection failure occurs when client patch version is later than same-major server or client major version is later than server	ERR-4109C; major version; patch version; client; server	FAQE/Home/09. Error Messages/ERR-4109C Invalid session property__22642975.md	19	covered	No English change required.	English preserves the connection-failure symptom and both version-mismatch cases.	none	S028 direct inspection.
S028	faq/Home/09. 에러메시지/09-11. ERR-4109C Invalid session property__8454428.md	30	51	S028-F09-11-U003	output_example	same-major mismatch example uses APRE 6.1.1.1.10 against server 6.1.1.0.0 and fails with ERR-4109C	apre -v; altibase -v; isql; 6.1.1.1.10; 6.1.1.0.0; ERR-4109C	FAQE/Home/09. Error Messages/ERR-4109C Invalid session property__22642975.md	30	covered	No English change required.	English preserves the same-major patch-version example and exact command output.	none	Long output block summarized in S028 note.
S028	faq/Home/09. 에러메시지/09-11. ERR-4109C Invalid session property__8454428.md	53	74	S028-F09-11-U004	output_example	higher-major client example uses APRE 6.1.1.3.2 against server 5.5.1.4.10 and fails with ERR-4109C	apre -v; altibase -v; isql; 6.1.1.3.2; 5.5.1.4.10; ERR-4109C	FAQE/Home/09. Error Messages/ERR-4109C Invalid session property__22642975.md	53	covered	No English change required.	English preserves the higher-major client example and exact command output.	none	Long output block summarized in S028 note.
S028	faq/Home/09. 에러메시지/09-11. ERR-4109C Invalid session property__8454428.md	76	90	S028-F09-11-U005	version_condition	within ALTIBASE HDB 5.5.1, JDBC 5.5.1.3.7+ and CLI 5.5.1.4.6+ cannot connect to earlier servers	ALTIBASE HDB 5.5.1; JDBC DRIVER 5.5.1.3.7; CLI 5.5.1.4.6	FAQE/Home/09. Error Messages/ERR-4109C Invalid session property__22642975.md	76	covered	No English change required.	English preserves both 5.5.1 JDBC and CLI patch-version thresholds.	none	S028 direct inspection.
S028	faq/Home/09. 에러메시지/09-11. ERR-4109C Invalid session property__8454428.md	92	102	S028-F09-11-U006	version_condition	within ALTIBASE HDB 6.1.1, JDBC 6.1.1.0.9+ and CLI 6.1.1.1.10+ cannot connect to earlier servers	ALTIBASE HDB 6.1.1; JDBC DRIVER 6.1.1.0.9; CLI 6.1.1.1.10	FAQE/Home/09. Error Messages/ERR-4109C Invalid session property__22642975.md	92	covered	No English change required.	English preserves both 6.1.1 JDBC and CLI patch-version thresholds.	none	English represents the CLI subheading as bold text but preserves the semantic unit.
S028	faq/Home/09. 에러메시지/09-11. ERR-4109C Invalid session property__8454428.md	104	116	S028-F09-11-U007	cause	client requests a server property unknown to the server; later client connecting to earlier server causes the error	server property; client configuration; image2015-1-19 13:39:35.png; image2015-1-19 13:57:28.png	FAQE/Home/09. Error Messages/ERR-4109C Invalid session property__22642975.md	104	covered	No English change required.	English preserves the unknown-server-property cause and corresponding localized diagrams.	low	English uses localized ENFAQ diagram URLs for the cause diagrams; Korean-source ODBC screenshot is covered separately.
S028	faq/Home/09. 에러메시지/09-11. ERR-4109C Invalid session property__8454428.md	118	124	S028-F09-11-U008	action	use same-or-earlier client version, or patch or upgrade the server when a later client is required	client version; server version; patch; upgrade	FAQE/Home/09. Error Messages/ERR-4109C Invalid session property__22642975.md	116	covered	No English change required.	English preserves both remediation options in one bullet.	none	S028 direct inspection.
S028	faq/Home/09. 에러메시지/09-11. ERR-4109C Invalid session property__8454428.md	125	143	S028-F09-11-U009	reference	server version can be checked with altibase -v or PRODUCT_VERSION from V$VERSION	altibase -v; SELECT PRODUCT_VERSION FROM V$VERSION	FAQE/Home/09. Error Messages/ERR-4109C Invalid session property__22642975.md	122	covered	No English change required.	English preserves the server-version command and SQL query.	none	S028 direct inspection.
S028	faq/Home/09. 에러메시지/09-11. ERR-4109C Invalid session property__8454428.md	145	165	S028-F09-11-U010	reference	client version can be checked with apre -v, ODBC altiodbc.dll properties, or java -jar Altibase.jar	apre -v; altiodbc.dll; image2025-7-11 11:16:19.png; java -jar Altibase.jar	FAQE/Home/09. Error Messages/ERR-4109C Invalid session property__22642975.md	142	covered	No English change required.	English preserves the APRE and JDBC commands and the Korean-source ODBC screenshot URL.	none	S028 direct inspection; P221 had already restored the ODBC screenshot URL.
