scope	ko_path	en_target_paths	attachment_label	extension	ko_url	en_url	status	action	risk	notes
technical	DOCK/Home/20. Altibase 설정 파일 가이드__13437165.md	arch/Home/Altibase Configuration File Guide__22642991.md	202312_Altibase_설정_파일_가이드.pdf	.pdf	https://docs.altibase.com/download/attachments/13437165/202312_Altibase_%EC%84%A4%EC%A0%95_%ED%8C%8C%EC%9D%BC_%EA%B0%80%EC%9D%B4%EB%93%9C.pdf?version=4&modificationDate=1702279114000&api=v2	https://docs.altibase.com/download/attachments/13437165/202312_Altibase_%EC%84%A4%EC%A0%95_%ED%8C%8C%EC%9D%BC_%EA%B0%80%EC%9D%B4%EB%93%9C.pdf?version=4&modificationDate=1702279114000&api=v2	preserved_url	No English change required; exact Korean-source URL is preserved in the mapped arch/Home target set.	none	Verified against live DOCK/Home source, doc-mapping.tsv target(s), and S019 evidence (S019-D020-U007).
technical	DOCK/Home/20. Altibase 설정 파일 가이드__13437165.md	arch/Home/Altibase Configuration File Guide__22642991.md	201003_ALTIBASE_설정_파일_가이드.pdf	.pdf	https://docs.altibase.com/download/attachments/13437165/201003_ALTIBASE_%EC%84%A4%EC%A0%95_%ED%8C%8C%EC%9D%BC_%EA%B0%80%EC%9D%B4%EB%93%9C.pdf?version=1&modificationDate=1701842255000&api=v2	https://docs.altibase.com/download/attachments/13437165/201003_ALTIBASE_%EC%84%A4%EC%A0%95_%ED%8C%8C%EC%9D%BC_%EA%B0%80%EC%9D%B4%EB%93%9C.pdf?version=1&modificationDate=1701842255000&api=v2	preserved_url	No English change required; exact Korean-source URL is preserved in the mapped arch/Home target set.	none	Verified against live DOCK/Home source, doc-mapping.tsv target(s), and S019 evidence (S019-D020-U008).
technical	DOCK/Home/21. Altibase 디스크I_O 병목을 고려한 볼륨구성 가이드__11698408.md	arch/Home/Configuration Guide For Minimizing Disk I_O Contention__22643018.md	202312_Altibase_디스크IO_병목을_고려한_볼륨구성_가이드.pdf	.pdf	https://docs.altibase.com/download/attachments/11698408/202312_Altibase_%EB%94%94%EC%8A%A4%ED%81%ACIO_%EB%B3%91%EB%AA%A9%EC%9D%84_%EA%B3%A0%EB%A0%A4%ED%95%9C_%EB%B3%BC%EB%A5%A8%EA%B5%AC%EC%84%B1_%EA%B0%80%EC%9D%B4%EB%93%9C.pdf?version=2&modificationDate=1702282370000&api=v2	https://docs.altibase.com/download/attachments/11698408/202312_Altibase_%EB%94%94%EC%8A%A4%ED%81%ACIO_%EB%B3%91%EB%AA%A9%EC%9D%84_%EA%B3%A0%EB%A0%A4%ED%95%9C_%EB%B3%BC%EB%A5%A8%EA%B5%AC%EC%84%B1_%EA%B0%80%EC%9D%B4%EB%93%9C.pdf?version=2&modificationDate=1702282370000&api=v2	preserved_url	No English change required; exact Korean-source URL is preserved in the mapped arch/Home target set.	none	Verified against live DOCK/Home source, doc-mapping.tsv target(s), and S019 evidence (S019-D021-U002).
technical	DOCK/Home/21. Altibase 디스크I_O 병목을 고려한 볼륨구성 가이드__11698408.md	arch/Home/Configuration Guide For Minimizing Disk I_O Contention__22643018.md	201511_ALTIBASE_디스크IO_병목을_고려한_볼륨구성_가이드.pdf	.pdf	https://docs.altibase.com/download/attachments/11698408/201511_ALTIBASE_%EB%94%94%EC%8A%A4%ED%81%ACIO_%EB%B3%91%EB%AA%A9%EC%9D%84_%EA%B3%A0%EB%A0%A4%ED%95%9C_%EB%B3%BC%EB%A5%A8%EA%B5%AC%EC%84%B1_%EA%B0%80%EC%9D%B4%EB%93%9C.pdf?version=1&modificationDate=1701925177000&api=v2	https://docs.altibase.com/download/attachments/11698408/201511_ALTIBASE_%EB%94%94%EC%8A%A4%ED%81%ACIO_%EB%B3%91%EB%AA%A9%EC%9D%84_%EA%B3%A0%EB%A0%A4%ED%95%9C_%EB%B3%BC%EB%A5%A8%EA%B5%AC%EC%84%B1_%EA%B0%80%EC%9D%B4%EB%93%9C.pdf?version=1&modificationDate=1701925177000&api=v2	preserved_url	No English change required; exact Korean-source URL is preserved in the mapped arch/Home target set.	none	Verified against live DOCK/Home source, doc-mapping.tsv target(s), and S019 evidence (S019-D021-U003).
technical	DOCK/Home/21. Altibase 디스크I_O 병목을 고려한 볼륨구성 가이드__11698408.md	arch/Home/Configuration Guide For Minimizing Disk I_O Contention__22643018.md	200912_ALTIBASE_디스크IO_병목을_고려한_볼륨구성_가이드.pdf	.pdf	https://docs.altibase.com/download/attachments/11698408/200912_ALTIBASE_%EB%94%94%EC%8A%A4%ED%81%ACIO_%EB%B3%91%EB%AA%A9%EC%9D%84_%EA%B3%A0%EB%A0%A4%ED%95%9C_%EB%B3%BC%EB%A5%A8%EA%B5%AC%EC%84%B1_%EA%B0%80%EC%9D%B4%EB%93%9C.pdf?version=1&modificationDate=1701925145000&api=v2	https://docs.altibase.com/download/attachments/11698408/200912_ALTIBASE_%EB%94%94%EC%8A%A4%ED%81%ACIO_%EB%B3%91%EB%AA%A9%EC%9D%84_%EA%B3%A0%EB%A0%A4%ED%95%9C_%EB%B3%BC%EB%A5%A8%EA%B5%AC%EC%84%B1_%EA%B0%80%EC%9D%B4%EB%93%9C.pdf?version=1&modificationDate=1701925145000&api=v2	preserved_url	No English change required; exact Korean-source URL is preserved in the mapped arch/Home target set.	none	Verified against live DOCK/Home source, doc-mapping.tsv target(s), and S019 evidence (S019-D021-U004).
technical	DOCK/Home/25. Altibase 데이터베이스 생성 가이드__13436812.md	arch/Home/Creating ALTIBASE Database__22643020.md	ALTIBASE_버전별_DB_생성_가이드.pdf	.pdf	https://docs.altibase.com/download/attachments/13436812/ALTIBASE_%EB%B2%84%EC%A0%84%EB%B3%84_DB_%EC%83%9D%EC%84%B1_%EA%B0%80%EC%9D%B4%EB%93%9C.pdf?version=2&modificationDate=1758150003000&api=v2	https://docs.altibase.com/download/attachments/13436812/ALTIBASE_%EB%B2%84%EC%A0%84%EB%B3%84_DB_%EC%83%9D%EC%84%B1_%EA%B0%80%EC%9D%B4%EB%93%9C.pdf?version=2&modificationDate=1758150003000&api=v2	preserved_url	No English change required; exact Korean-source URL is preserved in the mapped arch/Home target set.	none	Verified against live DOCK/Home source, doc-mapping.tsv target(s), and S019 evidence (S019-D025-U002).
technical	DOCK/Home/28. Altibase TOMCAT 연동가이드__7341030.md	arch/Home/TOMCAT Integration Guide for Altibase__14058489.md; arch/Home/TOMCAT Integration Guide for Altibase/1. TOMCAT Installation__14058491.md; arch/Home/TOMCAT Integration Guide for Altibase/2. JDBC Driver Configuration__14058500.md; arch/Home/TOMCAT Integration Guide for Altibase/3. Integrating ALTIBASE and TOMCAT__14058506.md; arch/Home/TOMCAT Integration Guide for Altibase/4. Fail-Over Configuration__14058508.md; arch/Home/TOMCAT Integration Guide for Altibase/5. Considerations when integrating TOMCAT__22643044.md; arch/Home/TOMCAT Integration Guide for Altibase/6. Errors when integrating TOMCAT__14058515.md	ALTIBASE_TOMCAT연동_가이드.pdf	.pdf	https://docs.altibase.com/download/attachments/7341030/ALTIBASE_TOMCAT%EC%97%B0%EB%8F%99_%EA%B0%80%EC%9D%B4%EB%93%9C.pdf?version=1&modificationDate=1417566911000&api=v2	https://docs.altibase.com/download/attachments/7341030/ALTIBASE_TOMCAT%EC%97%B0%EB%8F%99_%EA%B0%80%EC%9D%B4%EB%93%9C.pdf?version=1&modificationDate=1417566911000&api=v2	preserved_url	No English change required; exact Korean-source URL is preserved in the mapped arch/Home target set.	none	Verified against live DOCK/Home source, doc-mapping.tsv target(s), and S019 evidence (S019-D028-U004).
technical	DOCK/Home/28. Altibase TOMCAT 연동가이드__7341030.md	arch/Home/TOMCAT Integration Guide for Altibase__14058489.md; arch/Home/TOMCAT Integration Guide for Altibase/1. TOMCAT Installation__14058491.md; arch/Home/TOMCAT Integration Guide for Altibase/2. JDBC Driver Configuration__14058500.md; arch/Home/TOMCAT Integration Guide for Altibase/3. Integrating ALTIBASE and TOMCAT__14058506.md; arch/Home/TOMCAT Integration Guide for Altibase/4. Fail-Over Configuration__14058508.md; arch/Home/TOMCAT Integration Guide for Altibase/5. Considerations when integrating TOMCAT__22643044.md; arch/Home/TOMCAT Integration Guide for Altibase/6. Errors when integrating TOMCAT__14058515.md	ALTIBASE_TOMCAT_연동_가이드_5.5.pdf	.pdf	https://docs.altibase.com/download/attachments/7341030/ALTIBASE_TOMCAT_%EC%97%B0%EB%8F%99_%EA%B0%80%EC%9D%B4%EB%93%9C_5.5.pdf?version=1&modificationDate=1417599249000&api=v2	https://docs.altibase.com/download/attachments/7341030/ALTIBASE_TOMCAT_%EC%97%B0%EB%8F%99_%EA%B0%80%EC%9D%B4%EB%93%9C_5.5.pdf?version=1&modificationDate=1417599249000&api=v2	preserved_url	No English change required; exact Korean-source URL is preserved in the mapped arch/Home target set.	none	Verified against live DOCK/Home source, doc-mapping.tsv target(s), and S019 evidence (S019-D028-U005).
technical	DOCK/Home/29. Altibase JEUS 연동가이드__7341028.md	arch/Home/JEUS Integration Guide for Altibase__14058459.md; arch/Home/JEUS Integration Guide for Altibase/1. JEUS Installation__14058463.md; arch/Home/JEUS Integration Guide for Altibase/2. Integrating ALTIBASE and JEUS__14058474.md; arch/Home/JEUS Integration Guide for Altibase/3. Sample Examples__14058486.md	ALTIBASE_JEUS_연동_가이드.pdf	.pdf	https://docs.altibase.com/download/attachments/7341028/ALTIBASE_JEUS_%EC%97%B0%EB%8F%99_%EA%B0%80%EC%9D%B4%EB%93%9C.pdf?version=1&modificationDate=1417566887000&api=v2	https://docs.altibase.com/download/attachments/7341028/ALTIBASE_JEUS_%EC%97%B0%EB%8F%99_%EA%B0%80%EC%9D%B4%EB%93%9C.pdf?version=1&modificationDate=1417566887000&api=v2	preserved_url	No English change required; exact Korean-source URL is preserved in the mapped arch/Home target set.	none	Verified against live DOCK/Home source, doc-mapping.tsv target(s), and S019 evidence (S019-D029-U011).
technical	DOCK/Home/29. Altibase JEUS 연동가이드__7341028.md	arch/Home/JEUS Integration Guide for Altibase__14058459.md; arch/Home/JEUS Integration Guide for Altibase/1. JEUS Installation__14058463.md; arch/Home/JEUS Integration Guide for Altibase/2. Integrating ALTIBASE and JEUS__14058474.md; arch/Home/JEUS Integration Guide for Altibase/3. Sample Examples__14058486.md	ALTIBASE_JEUS_연동_가이드_6.0.pdf	.pdf	https://docs.altibase.com/download/attachments/7341028/ALTIBASE_JEUS_%EC%97%B0%EB%8F%99_%EA%B0%80%EC%9D%B4%EB%93%9C_6.0.pdf?version=1&modificationDate=1417651669000&api=v2	https://docs.altibase.com/download/attachments/7341028/ALTIBASE_JEUS_%EC%97%B0%EB%8F%99_%EA%B0%80%EC%9D%B4%EB%93%9C_6.0.pdf?version=1&modificationDate=1417651669000&api=v2	preserved_url	No English change required; exact Korean-source URL is preserved in the mapped arch/Home target set.	none	Verified against live DOCK/Home source, doc-mapping.tsv target(s), and S019 evidence (S019-D029-U012).
